# x_m,y_m,w_tr_right_m,w_tr_left_m
892.652675,11408.865530,70.008,69.992
894.772381,11383.964507,70.007,69.993
896.892109,11359.063483,70.007,69.993
899.011859,11334.162456,70.006,69.994
901.131630,11309.261428,70.006,69.994
903.251423,11284.360398,70.005,69.995
905.371234,11259.459368,70.004,69.996
907.491065,11234.558336,70.004,69.996
909.610915,11209.657303,70.003,69.997
911.730782,11184.756270,70.002,69.998
913.850665,11159.855236,70.002,69.998
915.970566,11134.954201,70.001,69.999
918.090481,11110.053166,70.001,69.999
920.210411,11085.152131,70.000,70.000
922.330356,11060.251096,69.999,70.001
924.450313,11035.350062,69.999,70.001
926.570284,11010.449027,69.998,70.002
928.690266,10985.547994,69.998,70.002
930.810259,10960.646961,69.997,70.003
932.930262,10935.745929,69.996,70.004
935.050276,10910.844897,69.996,70.004
937.170298,10885.943867,69.995,70.005
939.290329,10861.042839,69.995,70.005
941.410367,10836.141812,69.994,70.006
943.530411,10811.240786,69.993,70.007
945.650462,10786.339762,69.993,70.007
947.770519,10761.438741,69.992,70.008
949.890580,10736.537721,69.991,70.009
952.010644,10711.636704,69.991,70.009
954.130712,10686.735689,69.990,70.010
956.250783,10661.834677,69.990,70.010
958.370855,10636.933668,69.989,70.011
960.490928,10612.032662,69.988,70.012
962.611001,10587.131658,69.988,70.012
964.731074,10562.230658,69.987,70.013
966.851146,10537.329662,69.987,70.013
968.971216,10512.428669,69.986,70.014
971.091283,10487.527680,69.985,70.015
973.211347,10462.626695,69.985,70.015
975.331407,10437.725714,69.984,70.016
977.451462,10412.824737,69.983,70.017
979.571512,10387.923764,69.983,70.017
981.691556,10363.022796,69.982,70.018
983.811592,10338.121833,69.982,70.018
985.931621,10313.220875,69.981,70.019
988.051641,10288.319922,69.980,70.020
990.171652,10263.418974,69.980,70.020
992.291654,10238.518031,69.979,70.021
994.411645,10213.617094,69.979,70.021
996.531624,10188.716163,69.978,70.022
998.651592,10163.815237,69.977,70.023
1000.771547,10138.914318,69.977,70.023
1002.891488,10114.013404,69.976,70.024
1005.011415,10089.112497,69.976,70.024
1007.131327,10064.211597,69.975,70.025
1009.251224,10039.310703,69.974,70.026
1011.371104,10014.409816,69.974,70.026
1013.490967,9989.508936,69.973,70.027
1015.610813,9964.608063,69.972,70.028
1017.730640,9939.707198,69.972,70.028
1019.850451,9914.806339,69.971,70.029
1021.970246,9889.905486,69.971,70.029
1024.090029,9865.004639,69.970,70.030
1026.209800,9840.103796,69.969,70.031
1028.329560,9815.202959,69.969,70.031
1030.449313,9790.302125,69.968,70.032
1032.569058,9765.401295,69.968,70.032
1034.688799,9740.500467,69.967,70.033
1036.808536,9715.599642,69.966,70.034
1038.928271,9690.698819,69.966,70.034
1041.048007,9665.797997,69.965,70.035
1043.167744,9640.897175,69.964,70.036
1045.287484,9615.996354,69.964,70.036
1047.407229,9591.095532,69.963,70.037
1049.526980,9566.194710,69.963,70.037
1051.646740,9541.293885,69.962,70.038
1053.766510,9516.393059,69.961,70.039
1055.886291,9491.492230,69.961,70.039
1058.006085,9466.591398,69.960,70.040
1060.125894,9441.690562,69.960,70.040
1062.245720,9416.789722,69.959,70.041
1064.365564,9391.888877,69.958,70.042
1066.485427,9366.988027,69.958,70.042
1068.605312,9342.087171,69.957,70.043
1070.725220,9317.186308,69.957,70.043
1072.845153,9292.285439,69.956,70.044
1074.965112,9267.384561,69.955,70.045
1077.085099,9242.483676,69.955,70.045
1079.205116,9217.582782,69.954,70.046
1081.325165,9192.681879,69.953,70.047
1083.445246,9167.780966,69.953,70.047
1085.565362,9142.880043,69.952,70.048
1087.685515,9117.979109,69.952,70.048
1089.805705,9093.078164,69.951,70.049
1091.925935,9068.177206,69.950,70.050
1094.046207,9043.276237,69.950,70.050
1096.166521,9018.375254,69.949,70.051
1098.286880,8993.474257,69.949,70.051
1100.407286,8968.573247,69.948,70.052
1102.527739,8943.672222,69.947,70.053
1104.648242,8918.771181,69.947,70.053
1106.768796,8893.870125,69.946,70.054
1108.889403,8868.969053,69.945,70.055
1111.010064,8844.067963,69.945,70.055
1113.130782,8819.166856,69.944,70.056
1115.251558,8794.265732,69.944,70.056
1117.372393,8769.364588,69.943,70.057
1119.493289,8744.463426,69.942,70.058
1121.614249,8719.562244,69.942,70.058
1123.735272,8694.661042,69.941,70.059
1125.856362,8669.759819,69.941,70.059
1127.977520,8644.858575,69.940,70.060
1130.098747,8619.957309,69.939,70.061
1132.220045,8595.056021,69.939,70.061
1134.341416,8570.154710,69.938,70.062
1136.462862,8545.253376,69.938,70.062
1138.584383,8520.352017,69.937,70.063
1140.705983,8495.450634,69.936,70.064
1142.827661,8470.549226,69.936,70.064
1144.949421,8445.647792,69.935,70.065
1147.071264,8420.746332,69.934,70.066
1149.193190,8395.844845,69.934,70.066
1151.315203,8370.943331,69.933,70.067
1153.437304,8346.041790,69.933,70.067
1155.559494,8321.140219,69.932,70.068
1157.681775,8296.238620,69.931,70.069
1159.804148,8271.336992,69.931,70.069
1161.926616,8246.435333,69.930,70.070
1164.049180,8221.533644,69.930,70.070
1166.171841,8196.631924,69.929,70.071
1168.294602,8171.730172,69.928,70.072
1170.416916,8146.828619,69.928,70.072
1172.531955,8121.930153,69.927,70.073
1174.628875,8097.039359,69.927,70.073
1176.696764,8072.160852,69.926,70.074
1178.724729,8047.299238,69.925,70.075
1180.764803,8022.437310,69.925,70.075
1183.074183,7997.486737,69.925,70.075
1186.053565,7972.413516,69.993,70.007
1191.282422,7947.980616,70.692,69.308
1201.053805,7925.468764,70.752,69.248
1216.457973,7906.295930,71.038,68.962
1236.682513,7891.673810,69.918,70.082
1259.844990,7882.011987,71.014,68.986
1284.305208,7877.040113,70.465,69.535
1309.145266,7875.850773,70.391,69.609
1334.075431,7877.131782,70.429,69.571
1358.964520,7879.545639,70.315,69.685
1383.785262,7882.402647,70.201,69.799
1408.576960,7885.419824,70.087,69.913
1433.401746,7888.212391,69.973,70.027
1458.345129,7890.279088,69.807,70.193
1483.389033,7890.931140,69.540,70.460
1508.176968,7888.892470,69.103,70.897
1532.252790,7882.938582,69.186,70.814
1554.974630,7872.849239,69.502,70.498
1575.635537,7858.800121,69.909,70.091
1593.561365,7841.291740,69.902,70.098
1608.111398,7821.029293,69.482,70.518
1618.973995,7798.675372,69.148,70.852
1626.191244,7774.843155,69.366,70.634
1629.822716,7750.143376,70.084,69.916
1629.927985,7725.186771,69.812,70.188
1626.718854,7700.500341,69.273,70.727
1621.303475,7676.118056,69.341,70.659
1615.051682,7651.898777,69.602,70.398
1608.588521,7627.755221,69.863,70.137
1602.062109,7603.635469,70.107,69.893
1595.546430,7579.512437,70.060,69.940
1589.043717,7555.385238,70.013,69.987
1582.552635,7531.254286,69.984,70.016
1576.071852,7507.119995,70.007,69.993
1569.600035,7482.982780,70.031,69.969
1563.135853,7458.843055,70.054,69.946
1556.677971,7434.701233,70.078,69.922
1550.225057,7410.557730,70.101,69.899
