# x_m,y_m,w_tr_right_m,w_tr_left_m
67.402755,13.520688,7.442,6.558
66.395346,13.592927,7.413,6.587
65.370401,13.599253,7.438,6.562
64.335256,13.541546,7.488,6.512
63.297246,13.421687,7.537,6.463
62.263706,13.241556,7.586,6.414
61.241971,13.003032,7.636,6.364
60.239376,12.707997,7.685,6.315
59.263255,12.358329,7.734,6.266
58.320944,11.955910,7.784,6.216
57.419778,11.502619,7.833,6.167
56.566888,11.000330,7.882,6.118
55.766652,10.450837,7.932,6.068
55.021478,9.855873,7.981,6.019
54.333731,9.217172,8.030,5.970
53.705774,8.536468,7.934,6.066
53.139971,7.815493,7.818,6.182
52.638687,7.055980,7.701,6.299
52.204287,6.259664,7.585,6.415
51.839133,5.428277,7.469,6.531
51.545591,4.563553,7.352,6.648
51.326025,3.667224,7.236,6.764
51.182242,2.741142,7.167,6.833
51.110359,1.788356,7.128,6.872
51.103155,0.812623,7.089,6.911
51.153369,-0.182297,7.049,6.951
51.253738,-1.192640,7.039,6.961
51.397002,-2.214643,7.040,6.960
51.575898,-3.244542,7.041,6.959
51.783164,-4.278576,7.042,6.958
52.011539,-5.312981,7.043,6.957
52.253760,-6.343994,7.044,6.956
52.502565,-7.367852,7.045,6.955
52.751233,-8.381164,7.045,6.955
52.997454,-9.383575,7.046,6.954
53.241080,-10.376218,7.047,6.953
53.481976,-11.360235,7.048,6.952
53.720006,-12.336768,7.049,6.951
53.955037,-13.306958,7.050,6.950
54.186932,-14.271948,7.051,6.949
54.415559,-15.232881,7.052,6.948
54.640781,-16.190897,7.053,6.947
54.862464,-17.147139,7.054,6.946
55.080474,-18.102749,7.055,6.945
55.294675,-19.058870,7.055,6.945
55.504933,-20.016642,7.056,6.944
55.711113,-20.977209,7.057,6.943
55.913080,-21.941712,7.058,6.942
56.110699,-22.911294,7.059,6.941
56.303837,-23.887096,7.060,6.940
56.492357,-24.870261,7.061,6.939
56.676126,-25.861930,7.062,6.938
56.855007,-26.863246,7.063,6.937
57.028868,-27.875350,7.064,6.936
57.198224,-28.898702,7.065,6.935
57.367249,-29.929930,7.066,6.934
57.541390,-30.964325,7.066,6.934
57.726096,-31.997179,7.067,6.933
57.926816,-33.023783,7.068,6.932
58.148999,-34.039426,7.069,6.931
58.398092,-35.039401,7.070,6.930
58.679546,-36.018997,7.071,6.929
58.998809,-36.973506,7.072,6.928
59.361329,-37.898219,7.093,6.907
59.772556,-38.788426,7.197,6.803
60.236894,-39.639722,7.301,6.699
60.753943,-40.449101,7.405,6.595
61.321917,-41.213958,7.509,6.491
61.939033,-41.931689,7.613,6.387
62.603507,-42.599691,7.717,6.283
63.313554,-43.215358,7.654,6.346
64.067390,-43.776087,7.554,6.446
64.863231,-44.279273,7.454,6.546
65.699292,-44.722313,7.354,6.646
66.573790,-45.102603,7.254,6.746
67.484940,-45.417538,7.154,6.846
68.430195,-45.667499,7.077,6.923
69.404405,-45.863064,7.027,6.973
70.401863,-46.016986,6.977,7.023
71.416861,-46.142018,6.927,7.073
72.443692,-46.250914,6.877,7.123
73.476651,-46.356428,6.827,7.173
74.510030,-46.471312,6.777,7.223
75.538123,-46.608321,6.727,7.273
76.555221,-46.780207,6.677,7.323
77.555620,-46.999724,6.627,7.373
78.533611,-47.279620,6.577,7.423
79.484099,-47.628613,6.527,7.473
80.403676,-48.044234,6.534,7.466
81.289224,-48.522093,6.564,7.436
82.137627,-49.057797,6.593,7.407
82.945768,-49.646954,6.622,7.378
83.710529,-50.285173,6.651,7.349
84.428795,-50.968062,6.680,7.320
85.097446,-51.691229,6.709,7.291
85.713368,-52.450283,6.728,7.272
86.273455,-53.240836,6.716,7.284
86.776468,-54.059330,6.704,7.296
87.225027,-54.903912,6.693,7.307
87.622222,-55.772942,6.681,7.319
87.971148,-56.664779,6.669,7.331
88.274899,-57.577781,6.657,7.343
88.536567,-58.510307,6.645,7.355
88.759245,-59.460718,6.633,7.367
88.946028,-60.427371,6.624,7.376
89.100008,-61.408625,6.633,7.367
89.224278,-62.402841,6.642,7.358
89.321933,-63.408376,6.651,7.349
89.396064,-64.423590,6.660,7.340
89.449766,-65.446842,6.669,7.331
89.486132,-66.476491,6.679,7.321
89.508255,-67.510896,6.688,7.312
89.519229,-68.548415,6.697,7.303
89.522146,-69.587409,6.706,7.294
89.520100,-70.626236,6.715,7.285
89.516185,-71.663254,6.724,7.276
89.513493,-72.696824,6.734,7.266
89.515119,-73.725303,6.743,7.257
89.524123,-74.747070,6.752,7.248
89.541994,-75.761407,6.761,7.239
89.567914,-76.768924,6.770,7.230
89.600882,-77.770335,6.779,7.221
89.639901,-78.766355,6.788,7.212
89.683969,-79.757698,6.798,7.202
89.732087,-80.745079,6.807,7.193
89.783256,-81.729212,6.816,7.184
