# x_m,y_m,w_tr_right_m,w_tr_left_m
-117.333705,-502.003755,6.839,7.161
-118.757582,-506.797004,6.863,7.137
-120.155299,-511.597837,6.911,7.089
-121.542666,-516.400970,6.971,7.029
-122.935418,-521.201141,7.029,6.971
-124.343308,-525.995191,7.073,6.927
-125.765772,-530.783581,7.093,6.907
-127.201219,-535.567134,7.102,6.898
-128.648060,-540.346672,7.099,6.901
-130.104705,-545.123017,7.085,6.915
-131.569564,-549.896992,7.063,6.937
-133.041048,-554.669419,7.041,6.959
-134.517566,-559.441119,7.004,6.996
-135.997530,-564.212916,6.969,7.031
-137.479348,-568.985631,6.930,7.070
-138.961432,-573.760087,6.892,7.108
-140.442192,-578.537106,6.858,7.142
-141.920038,-583.317510,6.828,7.172
-143.393381,-588.102121,6.800,7.200
-144.860629,-592.891762,6.783,7.217
-146.320195,-597.687254,6.915,7.085
-147.773381,-602.488059,7.069,6.931
-149.237358,-607.286171,7.204,6.796
-150.734710,-612.071039,7.316,6.684
-152.288024,-616.832107,7.364,6.636
-153.919888,-621.558822,7.323,6.677
-155.652888,-626.240630,7.174,6.826
-157.509614,-630.866977,6.910,7.090
-159.512652,-635.427308,6.793,7.207
-161.683333,-639.911048,6.770,7.230
-164.029868,-644.307389,6.752,7.248
-166.552659,-648.605387,6.900,7.100
-169.252001,-652.794096,6.946,7.054
-172.128192,-656.862569,6.850,7.150
-175.181529,-660.799859,6.919,7.081
-178.412311,-664.595021,7.012,6.988
-181.820833,-668.237109,6.914,7.086
-185.407128,-671.715290,6.860,7.140
-189.165106,-675.021409,6.897,7.103
-193.082517,-678.149993,7.024,6.976
-197.146846,-681.095690,7.188,6.812
-201.345576,-683.853146,7.292,6.708
-205.666189,-686.417008,7.438,6.562
-210.096170,-688.781924,7.272,6.728
-214.623001,-690.942538,7.024,6.976
-219.234185,-692.893512,6.940,7.060
-223.918793,-694.630471,6.897,7.103
-228.668546,-696.150684,6.658,7.342
-233.475426,-697.451576,6.557,7.443
-238.331412,-698.530575,6.642,7.358
-243.228487,-699.385107,6.836,7.164
-248.158630,-700.012598,6.953,7.047
-253.113822,-700.410476,7.079,6.921
-258.086043,-700.576170,7.206,6.794
-263.067666,-700.511342,7.219,6.781
-268.052214,-700.230176,7.222,6.778
-273.033427,-699.749167,7.132,6.868
-278.005042,-699.084805,6.989,7.011
-282.960797,-698.253584,6.835,7.165
-287.894430,-697.271995,6.834,7.166
-292.799679,-696.156532,6.951,7.049
-297.670282,-694.923687,6.995,7.005
-302.500950,-693.588285,7.033,6.967
-307.291614,-692.156208,7.023,6.977
-312.043948,-690.630351,6.976,7.024
-316.759630,-689.013605,6.995,7.005
-321.440334,-687.308862,6.839,7.161
-326.087737,-685.519015,6.881,7.119
-330.703516,-683.646955,6.906,7.094
-335.289345,-681.695575,6.996,7.004
-339.847113,-679.668397,7.013,6.987
-344.380850,-677.575356,7.128,6.872
-348.895841,-675.430137,7.197,6.803
-353.397386,-673.246469,7.125,6.875
-357.890785,-671.038082,7.012,6.988
-362.381337,-668.818706,6.856,7.144
-366.874343,-666.602070,6.921,7.079
-371.375104,-664.401904,6.849,7.151
-375.888497,-662.231068,6.805,7.195
-380.409957,-660.082904,6.955,7.045
-384.925597,-657.931490,7.173,6.827
-389.421136,-655.750090,7.145,6.855
-393.882291,-653.511967,7.099,6.901
-398.294782,-651.190383,7.093,6.907
-402.644325,-648.758603,6.991,7.009
-406.916640,-646.189888,6.931,7.069
-411.097372,-643.458111,6.884,7.116
-415.170525,-640.550712,6.950,7.050
-419.118494,-637.468474,6.971,7.029
-422.923605,-634.212742,6.984,7.016
-426.568186,-630.784859,6.903,7.097
-430.034561,-627.186171,6.893,7.107
-433.305057,-623.418023,7.052,6.948
-436.362001,-619.481758,6.913,7.087
-439.187811,-615.378798,6.817,7.183
-441.771646,-611.116064,7.101,6.899
-444.113837,-606.709598,7.088,6.912
-446.215769,-602.176304,7.062,6.938
-448.078826,-597.533083,7.137,6.863
-449.704393,-592.796838,7.097,6.903
-451.093854,-587.984472,6.899,7.101
-452.248595,-583.112885,6.779,7.221
-453.170002,-578.198979,6.686,7.314
-453.863086,-573.256962,6.807,7.193
-454.343300,-568.293290,7.023,6.977
-454.627967,-563.313028,7.136,6.864
-454.734409,-558.321242,7.252,6.748
-454.679948,-553.322997,7.107,6.893
-454.481908,-548.323361,6.984,7.016
-454.157612,-543.327399,7.051,6.949
-453.724381,-538.340176,7.033,6.967
-453.198717,-533.365894,6.973,7.027
-452.592835,-528.404248,6.881,7.119
-451.917559,-523.453466,6.809,7.191
-451.183712,-518.511779,6.894,7.106
-450.402115,-513.577414,6.976,7.024
-449.583592,-508.648602,7.015,6.985
-448.738965,-503.723570,7.036,6.964
-447.879058,-498.800548,7.037,6.963
-447.014051,-493.877873,7.032,6.968
-446.147812,-488.954935,7.027,6.973
-445.280611,-484.031726,7.026,6.974
-444.412677,-479.108247,7.014,6.986
-443.544240,-474.184497,7.016,6.984
-442.675529,-469.260474,7.001,6.999
-441.806772,-464.336179,6.996,7.004
-440.938199,-459.411610,6.989,7.011
-440.070040,-454.486768,6.985,7.015
-439.202523,-449.561650,6.980,7.020
-438.335877,-444.636257,6.976,7.024
-437.470332,-439.710588,6.970,7.030
-436.606116,-434.784643,6.971,7.029
-435.743460,-429.858420,6.969,7.031
-434.882592,-424.931918,6.970,7.030
-434.023741,-420.005139,6.973,7.027
-433.167137,-415.078079,6.981,7.019
-432.313008,-410.150740,6.988,7.012
-431.461584,-405.223120,6.997,7.003
-430.613094,-400.295219,7.013,6.987
-429.767767,-395.367036,7.027,6.973
-428.925832,-390.438570,7.051,6.949
-428.087519,-385.509821,7.075,6.925
-427.253057,-380.580788,7.101,6.899
-426.422674,-375.651470,7.129,6.871
-425.596600,-370.721867,7.121,6.879
-424.775065,-365.791977,7.075,6.925
-423.958297,-360.861801,7.032,6.968
-423.146525,-355.931338,6.991,7.009
-422.339979,-351.000587,6.960,7.040
-421.538887,-346.069548,6.926,7.074
-420.743480,-341.138219,6.905,7.095
-419.953986,-336.206600,6.891,7.109
-419.170831,-331.274483,6.877,7.123
-418.395458,-326.340601,6.876,7.124
-417.629631,-321.403346,6.887,7.113
-416.875114,-316.461111,6.907,7.093
-416.133673,-311.512290,6.940,7.060
-415.407071,-306.555275,6.993,7.007
-414.697075,-301.588459,7.056,6.944
-414.005449,-296.610236,7.143,6.857
-413.327268,-291.621539,7.247,6.753
-412.592909,-286.647887,7.290,6.710
-411.696481,-281.728579,7.162,6.838
-410.531694,-276.903065,6.914,7.086
-408.994676,-272.210697,6.731,7.269
-407.032456,-267.688735,6.703,7.297
-404.640443,-263.372453,6.741,7.259
-401.815960,-259.297046,6.811,7.189
-398.557991,-255.497886,7.129,6.871
-394.900040,-252.014081,7.282,6.718
-390.908263,-248.888266,7.211,6.789
-386.650097,-246.163215,7.078,6.922
-382.192713,-243.881291,6.891,7.109
-377.586185,-242.058031,6.751,7.249
-372.853306,-240.666185,6.760,7.240
-368.014434,-239.674674,6.817,7.183
-363.089954,-239.051960,7.047,6.953
-358.102361,-238.736832,7.211,6.789
-353.077501,-238.620877,7.190,6.810
-348.041517,-238.591476,7.051,6.949
-343.020539,-238.536061,6.940,7.060
-338.029991,-238.382153,6.917,7.083
-333.055648,-238.168296,6.965,7.035
-328.078194,-237.952098,7.006,6.994
-323.078331,-237.791098,6.992,7.008
-318.049816,-237.695613,6.922,7.078
-313.022496,-237.545355,6.903,7.097
-308.032412,-237.197653,7.048,6.952
-303.115599,-236.509832,7.176,6.824
-298.304460,-235.364260,7.182,6.818
-293.613196,-233.768636,7.021,6.979
-289.050326,-231.769797,6.905,7.095
-284.624367,-229.414595,7.032,6.968
-280.350441,-226.743975,7.080,6.920
-276.276632,-223.769428,6.976,7.024
-272.461286,-220.493274,6.861,7.139
-268.962753,-216.917828,6.805,7.195
-265.832614,-213.048747,6.985,7.015
-263.058881,-208.923051,7.195,6.805
-260.594749,-204.594936,7.265,6.735
-258.393057,-200.118778,7.242,6.758
-256.408005,-195.546117,7.136,6.864
-254.606533,-190.901971,7.133,6.867
-252.962540,-186.196872,7.031,6.969
-251.449998,-181.441201,6.901,7.099
-250.042876,-176.645343,6.771,7.229
-248.715146,-171.819679,6.684,7.316
-247.440777,-166.974594,6.795,7.205
-246.193740,-162.120470,6.906,7.094
-244.948706,-157.267409,7.018,6.982
-243.694444,-152.419840,7.127,6.873
-242.432770,-147.576944,7.236,6.764
-241.165995,-142.737703,7.217,6.783
-239.896427,-137.901101,7.167,6.833
-238.626376,-133.066120,7.080,6.920
-237.358151,-128.231742,6.926,7.074
-236.094062,-123.396950,6.879,7.121
-234.836402,-118.560733,6.930,7.070
-233.586446,-113.722496,6.978,7.022
-232.343879,-108.882294,7.025,6.975
-231.108251,-104.040238,6.962,7.038
-229.879109,-99.196439,6.928,7.072
-228.656001,-94.351006,7.022,6.978
-227.438475,-89.504052,7.081,6.919
-226.226080,-84.655686,7.109,6.891
-225.018364,-79.806020,7.136,6.864
-223.814874,-74.955165,7.162,6.838
-222.615159,-70.103230,7.159,6.841
-221.418768,-65.250328,7.147,6.853
-220.225247,-60.396568,7.116,6.884
-219.034146,-55.542062,7.053,6.947
-217.845012,-50.686920,6.933,7.067
-216.657394,-45.831253,6.817,7.183
-215.470839,-40.975172,6.785,7.215
-214.284896,-36.118788,6.753,7.247
-213.099114,-31.262211,6.764,7.236
-211.913039,-26.405553,6.785,7.215
-210.726220,-21.548924,6.890,7.110
-209.538206,-16.692434,6.998,7.002
-208.348544,-11.836195,7.020,6.980
-207.156783,-6.980318,7.042,6.958
-205.962470,-2.124913,7.058,6.942
-204.765155,2.729909,7.058,6.942
-203.564384,7.584037,6.979,7.021
-202.359706,12.437361,6.931,7.069
-201.150670,17.289769,6.929,7.071
-199.936823,22.141151,6.929,7.071
-198.717713,26.991396,6.951,7.049
-197.492889,31.840393,6.974,7.026
-196.261899,36.688032,7.102,6.898
-195.024232,41.534180,7.197,6.803
-193.778246,46.378280,7.139,6.861
-192.521261,51.219390,7.090,6.910
-191.250560,56.056553,7.084,6.916
-189.963427,60.888810,7.093,6.907
-188.657145,65.715206,7.118,6.882
-187.328997,70.534782,7.087,6.913
-185.976265,75.346581,7.073,6.927
-184.596235,80.149646,7.067,6.933
-183.186187,84.943020,6.970,7.030
-181.743407,89.725746,6.946,7.054
-180.265176,94.496866,6.990,7.010
-178.748779,99.255423,6.936,7.064
-177.191498,104.000460,6.879,7.121
-175.590616,108.731019,6.850,7.150
-173.943417,113.446143,6.827,7.173
-172.247098,118.144830,6.735,7.265
-170.450242,122.800790,6.726,7.274
-168.371889,127.320342,6.917,7.083
-165.852674,131.616250,7.272,6.728
-162.939829,135.685704,6.928,7.072
-159.737505,139.548054,7.190,6.810
-156.325329,143.207392,7.161,6.839
-152.755711,146.658831,6.933,7.067
-148.986176,149.876336,6.823,7.177
-144.960940,152.827747,6.870,7.130
-140.695289,155.481674,6.982,7.018
-136.225635,157.806955,6.871,7.129
-131.588391,159.772432,7.160,6.840
-126.819975,161.346944,7.132,6.868
-121.956800,162.499332,7.169,6.831
-117.035284,163.198434,7.063,6.937
-112.091840,163.413092,6.846,7.154
-107.161836,163.117551,6.764,7.236
-102.271334,162.333972,6.817,7.183
-97.441539,161.109557,6.853,7.147
-92.693610,159.491726,7.027,6.973
-88.049880,157.526328,7.081,6.919
-83.554633,155.229755,7.224,6.776
-79.271650,152.592239,7.152,6.848
-75.265389,149.603103,7.069,6.931
-71.598523,146.253089,6.769,7.231
-68.300427,142.559371,6.728,7.272
-65.371002,138.562519,6.856,7.144
