# x_m,y_m,w_tr_right_m,w_tr_left_m
7043.422688,1585.513271,68.785,71.215
7051.837000,1561.970125,68.897,71.103
7060.237871,1538.422099,69.010,70.990
7068.627607,1514.870083,69.138,70.862
7077.008515,1491.314963,69.267,70.733
7085.382902,1467.757628,69.425,70.575
7093.753073,1444.198966,69.584,70.416
7102.121337,1420.639864,69.740,70.260
7110.489998,1397.081212,69.896,70.104
7118.861365,1373.523896,70.052,69.948
7127.237743,1349.968805,70.209,69.791
7135.621439,1326.416827,70.343,69.657
7144.014759,1302.868849,70.476,69.524
7152.420011,1279.325761,70.591,69.409
7160.839501,1255.788450,70.705,69.295
7169.275535,1232.257803,70.788,69.212
7177.730420,1208.734710,70.868,69.132
7186.206462,1185.220057,70.914,69.086
7194.705911,1161.714708,70.957,69.043
7203.228963,1138.218628,70.956,69.044
7211.773287,1114.730678,70.953,69.047
7220.336390,1091.249649,70.912,69.088
7228.915783,1067.774330,70.869,69.131
7237.508974,1044.303512,70.800,69.200
7246.113473,1020.835987,70.730,69.270
7254.726788,997.370546,70.639,69.361
7263.346430,973.905978,70.546,69.454
7271.969906,950.441074,70.430,69.570
7280.594727,926.974626,70.313,69.687
7289.218402,903.505424,70.172,69.828
7297.838439,880.032258,70.030,69.970
7306.452348,856.553920,69.920,70.080
7315.057638,833.069201,69.811,70.189
7323.651818,809.576890,69.700,70.300
7332.232398,786.075779,69.588,70.412
7340.810464,762.570751,69.411,70.589
7349.448228,739.089630,69.230,70.770
7358.219934,715.665642,69.046,70.954
7367.199828,692.332009,68.862,71.138
7376.462152,669.121955,69.110,70.890
7386.081152,646.068704,69.404,70.596
7396.131071,623.205481,69.184,70.816
7406.686154,600.565508,68.902,71.098
7417.817879,578.185157,69.249,70.751
7429.578601,556.122554,69.670,70.330
7442.012594,534.445018,70.172,69.828
7455.164103,513.219901,70.682,69.318
7469.077373,492.514554,70.534,69.466
7483.796649,472.396331,70.344,69.656
7499.366177,452.932582,70.163,69.837
7515.830201,434.190661,69.982,70.018
7533.228881,416.237872,70.977,69.023
7551.546306,399.140893,72.000,68.000
7570.725842,382.965941,71.759,68.241
7590.709944,367.779227,71.479,68.521
7611.441065,353.646957,70.632,69.368
7632.861657,340.635342,69.753,70.247
7654.914175,328.810589,69.567,70.433
7677.541070,318.238907,69.441,70.559
7700.684722,308.985331,69.663,70.337
7724.284974,301.075116,69.923,70.077
7748.278578,294.484964,70.326,69.674
7772.602096,289.188628,70.744,69.256
